No.;TGL SJ;NOPOL;NO BSTK;NAMA DEALER;KOTA;RANGE;HARGA;QTY REGULER;QTY PCX/CBR;JUMLAH (RP);SUBSIDI LIFT;TOTAL SUBSIDI;TOTAL QTY;NAMA EKSPEDISI;KET;;;;;;;;;;;
;;;3071330933;HSO WATES;KULONPROGO;RANGE 2;26800;10;;268000;18000;180000;10;PT.TUNAS MUDA;CDD STD;;;;? OK;? OK;? OK;0;;;;
28;;B 9963 UIO;3064073035;PT NUSANTARA SAKTI;PURWOREJO;RANGE 2;26800;7;1;241200;18000;144000;8;PT.TUNAS MUDA;CDD STD;;;;? OK;? OK;? OK;0;;;;
;;;3064073060;CV CENDANA PS;PURWOREJO;RANGE 2;26800;2;;53600;18000;36000;2;PT.TUNAS MUDA;CDD STD;;;;? OK;? OK;? OK;0;;;;
;;;3064073061;CV PANDEAN BM;PURWOREJO;RANGE 2;26800;2;;53600;18000;36000;2;PT.TUNAS MUDA;CDD STD;;;;? OK;? OK;? OK;0;;;;
29;46170;B 9910 UIO;3064073625;CV PANDEAN BM;PURWOREJO;RANGE 2;26800;1;;26800;18000;18000;1;PT.TUNAS MUDA;CDD STD;;;;? OK;? OK;? OK;0;;;;
;;;3064073500;CV PANDEAN BM;PURWOREJO;RANGE 2;26800;4;;107200;18000;72000;4;PT.TUNAS MUDA;CDD STD;;;;? OK;? OK;? OK;0;;;;
;;;3071331193;HSO;PURWOREJO;RANGE 2;26800;3;1;134000;18000;72000;4;PT.TUNAS MUDA;CDD STD;;;;? OK;? OK;? OK;0;;;;
;;;3071331174;HSO WATES;KULONPROGO;RANGE 2;26800;14;1;428800;18000;270000;15;PT.TUNAS MUDA;CDD STD;;;;? OK;? OK;? OK;0;;;;
30;;B 9014 UVZ;3064073491;PT ARMADA TUNAS JAYA;MAGELANG;RANGE 2;26800;5;1;187600;18000;108000;6;PT.TUNAS MUDA;CDD STD;;;;? OK;? OK;? OK;0;;;;
;;;3064073496;PT NUSANTARA SAKTI;MAGELANG;RANGE 2;26800;9;;241200;18000;162000;9;PT.TUNAS MUDA;CDD STD;;;;? OK;? OK;? OK;0;;;;
;;;3071331162;HSO;MAGELANG;RANGE 2;26800;3;;80400;18000;54000;3;PT.TUNAS MUDA;CDD STD;;;;? OK;? OK;? OK;0;;;;
31;;B 9960 UIO;3071331156;HSO;MAGELANG;RANGE 2;26800;21;;562800;18000;378000;21;PT.TUNAS MUDA;CDD STD;;;;? OK;? OK;? OK;0;;;;
32;;B 9923 UIO;3064073499;CV CENDANA PS;PURWOREJO;RANGE 2;26800;3;;80400;18000;54000;3;PT.TUNAS MUDA;CDD STD;;;;? OK;? OK;? OK;0;;;;
;;;3064073519;PT NUSANTARA SAKTI;PURWOREJO;RANGE 2;26800;14;;375200;18000;252000;14;PT.TUNAS MUDA;CDD STD;;;;? OK;? OK;? OK;0;;;;
;;;3064073522;CV SHINTA MOTOR;KULONPROGO;RANGE 2;26800;4;;107200;18000;72000;4;PT.TUNAS MUDA;CDD STD;;;;? OK;? OK;? OK;0;;;;
33;46171;B 9922 UIO;3064073987;CV SHINTA MOTOR;KULONPROGO;RANGE 2;26800;3;1;134000;18000;72000;4;PT.TUNAS MUDA;CDD STD;;;;? OK;? OK;? OK;0;;;;
